date,ticker,price
2024-01-01,AAPL,150.9004826165823
2024-01-02,AAPL,148.82031927055405
2024-01-03,AAPL,149.55774915734656
2024-01-04,AAPL,149.03383178977055
2024-01-05,AAPL,149.24478382884726
2024-01-06,AAPL,148.39460754570408
2024-01-07,AAPL,149.59480473247822
2024-01-08,AAPL,151.54215446690353
2024-01-09,AAPL,149.85240077075642
2024-01-10,AAPL,148.38710869544016
2024-01-11,AAPL,148.4608821284693
2024-01-12,AAPL,148.32519571371762
2024-01-13,AAPL,148.58925686411422
2024-01-14,AAPL,148.94620985893445
2024-01-15,AAPL,150.60167692073705
2024-01-16,AAPL,152.6208562037586
2024-01-17,AAPL,151.90958649322835
2024-01-18,AAPL,152.86978560151155
2024-01-19,AAPL,151.95058198148922
2024-01-20,AAPL,152.07684325841373
