date,ticker,price
2024-01-01,AAPL,152.87985776424725
2024-01-02,AAPL,153.80549494903133
2024-01-03,AAPL,153.3692703834935
2024-01-04,AAPL,152.99395922632854
2024-01-05,AAPL,154.7120507700497
2024-01-06,AAPL,156.06339448023255
2024-01-07,AAPL,155.1499544593322
2024-01-08,AAPL,156.20207024288908
2024-01-09,AAPL,156.8775528162842
2024-01-10,AAPL,157.87284638173887
2024-01-11,AAPL,160.89366069828841
2024-01-12,AAPL,159.52192140240453
2024-01-13,AAPL,157.88708526558486
2024-01-14,AAPL,158.06900235045634
2024-01-15,AAPL,159.32500230346116
2024-01-16,AAPL,159.38925381700432
2024-01-17,AAPL,158.97739186301402
2024-01-18,AAPL,157.33922112673682
2024-01-19,AAPL,157.23020762806414
2024-01-20,AAPL,157.15457011274847
